#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
108,Jose Siri,CIN,A,21-21,552,0.349,0.98,17.40%,40.90%,41.70%,19.00%,15.70%,40.00%,28.40%,31.60%,17.80%,595,1293,1888
109,Jose Barrero,CIN,A,20-20,517,0.307,1.36,16.90%,47.90%,35.20%,27.60%,4.70%,52.10%,19.50%,28.30%,13.70%,608,1276,1884
110,Emmanuel Tapia,CLE,A,21-21,505,0.268,1.36,20.30%,45.90%,33.80%,15.80%,30.50%,39.20%,27.60%,33.20%,22.00%,650,1228,1878
111,Jazz Chisholm Jr.,ARI,A,19-20,466,0.321,0.79,19.40%,35.60%,45.00%,18.40%,12.80%,49.10%,24.60%,26.30%,16.30%,674,1203,1877
112,Gareth Morgan,SEA,A,21-21,462,0.371,0.83,17.90%,37.20%,45.00%,16.30%,17.30%,43.70%,29.70%,26.60%,19.00%,728,1149,1877
113,Miguel Amaya,CHC,A,19-19,479,0.298,0.9,19.30%,38.30%,42.40%,22.10%,8.80%,50.80%,22.80%,26.40%,11.70%,670,1206,1876
114,Francisco Del Valle,LAA,A,20-20,480,0.262,0.86,15.80%,38.90%,45.30%,28.70%,6.20%,49.70%,17.90%,32.40%,11.70%,739,1137,1876
115,Juan Yepez,STL,A,19-21,535,0.355,1.1,18.40%,42.70%,38.90%,19.90%,8.20%,51.00%,22.30%,26.70%,12.90%,637,1227,1864
116,Manny Jefferson,ARI,A,22-23,502,0.276,0.82,16.10%,37.80%,46.10%,23.90%,1.30%,43.00%,25.40%,31.60%,12.30%,664,1194,1858
117,Gavin Lux,LAD,A,19-19,501,0.288,1.49,12.10%,52.60%,35.30%,16.30%,5.70%,41.90%,26.60%,31.40%,6.60%,744,1110,1854
118,Conner Capel,CLE,A,20-20,492,0.275,0.87,18.10%,38.10%,43.80%,22.10%,15.20%,46.00%,29.10%,24.90%,11.70%,704,1148,1852
119,Nick Allen,OAK,A,19-19,512,0.289,1.37,15.30%,48.90%,35.80%,27.80%,0.00%,42.60%,22.30%,35.10%,8.70%,643,1207,1850
120,Travis Blankenhorn,MIN,A,20-20,508,0.312,1,10.00%,45.00%,45.00%,14.60%,9.00%,48.80%,26.40%,24.80%,14.30%,665,1183,1848
121,Eudy Ramos,ARI,A,21-22,531,0.301,0.92,17.60%,39.50%,42.90%,20.10%,8.10%,46.00%,23.20%,30.80%,19.60%,596,1252,1848
122,Nick Thurman,SEA,A,23-24,478,0.331,1.29,22.10%,43.90%,33.90%,12.60%,5.30%,39.00%,23.40%,37.60%,16.10%,643,1198,1841
123,Miguel Eladio,CLE,A,21-22,566,0.31,1.66,16.00%,52.40%,31.60%,28.60%,8.40%,43.10%,23.90%,33.00%,19.20%,540,1299,1839
124,Grant Witherspoon,TBR,A,22-22,490,0.297,1.23,14.40%,47.10%,38.40%,14.80%,7.80%,45.10%,25.00%,29.90%,11.70%,653,1184,1837
125,Colby Bortles,DET,A,23-23,461,0.332,0.77,24.90%,32.60%,42.50%,19.00%,4.10%,45.90%,27.70%,26.40%,12.00%,696,1141,1837
126,Josh Rolette,CLE,A,22-23,442,0.294,0.71,15.00%,35.40%,49.60%,13.50%,4.00%,37.90%,30.30%,31.80%,12.10%,724,1108,1832
127,Austin Beck,OAK,A,19-19,534,0.377,1.25,22.00%,43.40%,34.70%,29.00%,1.50%,42.40%,22.70%,34.90%,12.70%,575,1253,1828
128,Gabe Snyder,MIN,A,24-24,481,0.303,0.59,11.70%,32.90%,55.40%,22.90%,10.90%,48.00%,23.80%,28.20%,14.20%,682,1136,1818
129,Luke Persico,OAK,A,21-21,502,0.302,0.97,19.00%,39.90%,41.00%,18.10%,3.40%,39.70%,25.20%,35.10%,9.00%,668,1150,1818
130,Lewin Díaz,MIN,A,20-20,508,0.322,0.7,14.80%,34.90%,50.30%,19.30%,6.10%,42.30%,26.40%,31.20%,9.70%,611,1200,1811
131,Bryson Brigman,SEA,A,22-22,518,0.274,1.94,15.90%,55.50%,28.60%,20.90%,1.80%,40.40%,21.00%,38.60%,7.60%,660,1151,1811
132,Ryan Gridley,OAK,A,23-24,474,0.311,1.13,17.30%,43.90%,38.80%,25.80%,4.70%,40.70%,27.30%,32.00%,7.30%,637,1168,1805
133,Connor Fitzsimons,LAA,A,23-24,456,0.37,1.39,17.60%,48.00%,34.40%,17.10%,13.20%,50.00%,21.20%,28.80%,18.20%,686,1117,1803
134,Chris Roller,LAD,A,21-22,469,0.339,0.63,19.80%,30.90%,49.30%,23.10%,5.40%,51.60%,24.80%,23.50%,11.10%,691,1109,1800
135,Joe Rizzo,SEA,A,19-19,480,0.33,1.79,14.30%,54.90%,30.70%,13.30%,7.80%,37.00%,20.80%,42.20%,12.90%,716,1075,1791
136,Emilio Gustave,TBR,A,22-23,493,0.303,1.21,17.20%,45.40%,37.40%,26.50%,7.10%,45.80%,20.40%,33.70%,16.20%,559,1226,1785
137,Keinner Piña,LAA,A,21-22,469,0.316,1.41,18.30%,47.80%,33.90%,14.70%,0.90%,35.50%,23.30%,41.20%,12.30%,638,1146,1784
138,Jawuan Harris,SDP,A,22-22,438,0.324,0.9,17.10%,39.40%,43.50%,27.70%,8.50%,41.40%,28.80%,29.70%,13.20%,721,1061,1782
139,Esteury Ruiz,SDP,A,19-19,493,0.345,0.82,17.90%,37.10%,45.00%,17.60%,9.20%,48.90%,24.90%,26.20%,17.00%,604,1171,1775
140,Quentin Holmes,CLE,A,19-19,459,0.263,0.74,12.80%,37.20%,50.00%,30.40%,4.80%,45.60%,22.80%,31.70%,16.20%,594,1180,1774
141,Kungkuan Giljegiljaw,CLE,A,23-23,518,0.301,0.86,21.10%,36.50%,42.40%,19.70%,10.80%,42.50%,28.50%,29.00%,12.80%,645,1126,1771
142,Jesus Lujano,MIL,A,20-20,490,0.289,2.26,17.70%,57.00%,25.30%,8.90%,1.10%,37.90%,25.80%,36.30%,7.60%,596,1163,1759
143,Rayder Ascanio,STL,A,21-22,432,0.273,1.19,16.60%,45.40%,38.10%,31.30%,7.80%,38.00%,30.00%,31.90%,9.10%,645,1113,1758
144,Jose Vicente,CLE,A,21-22,530,0.294,1.21,17.60%,45.10%,37.30%,27.80%,16.00%,53.30%,23.60%,23.10%,13.10%,588,1168,1756
145,Thomas Jones,MIA,A,21-21,448,0.337,0.83,20.60%,36.00%,43.30%,30.80%,9.30%,51.40%,26.10%,22.60%,14.40%,640,1116,1756
146,Delvin Pérez,STL,A,20-20,506,0.359,1.57,16.80%,50.90%,32.30%,31.50%,0.90%,44.40%,25.20%,30.40%,12.00%,598,1157,1755
147,Otto Lopez,TOR,A,20-20,492,0.365,1.97,18.60%,54.00%,27.40%,26.20%,4.90%,43.00%,24.20%,32.80%,8.20%,603,1147,1750
148,Marcus Wilson,ARI,A,20-20,447,0.361,1.17,17.70%,44.40%,37.90%,19.80%,8.10%,46.20%,28.80%,25.10%,9.10%,709,1038,1747
149,Trey Dawson,HOU,A,21-22,472,0.28,1.06,20.70%,40.70%,38.60%,31.50%,3.70%,45.40%,21.30%,33.30%,10.20%,650,1093,1743
150,Garrett Whitley,TBR,A,20-20,426,0.339,1.06,21.10%,40.50%,38.40%,27.00%,14.60%,46.70%,20.40%,32.90%,12.60%,692,1048,1740
151,Luis Almanzar,SDP,A,18-19,451,0.261,0.76,20.70%,34.30%,45.00%,26.50%,4.40%,44.80%,25.70%,29.50%,12.00%,654,1086,1740
152,Bo Naylor,CLE,A,19-19,453,0.296,0.99,20.30%,39.70%,40.00%,5.10%,9.30%,43.40%,25.70%,30.90%,10.00%,661,1077,1738
153,Ruben Cardenas,CLE,A,21-21,481,0.313,0.9,17.70%,39.00%,43.20%,18.10%,9.00%,39.60%,27.20%,33.20%,11.70%,666,1072,1738
154,Cole Roederer,CHC,A,19-19,448,0.285,0.97,15.50%,41.50%,43.00%,19.30%,7.60%,52.10%,22.10%,25.70%,12.60%,683,1055,1738
155,Gilberto Celestino,MIN,A,20-20,503,0.317,1.33,12.00%,50.30%,37.70%,20.70%,7.40%,41.90%,25.30%,32.80%,9.20%,664,1072,1736
156,Austin Dennis,HOU,A,22-22,444,0.288,1.37,20.80%,45.70%,33.40%,17.00%,2.80%,39.30%,21.40%,39.30%,7.60%,650,1079,1729
157,Anthony Churlin,OAK,A,21-22,439,0.339,1.33,17.30%,47.20%,35.40%,27.10%,4.20%,40.70%,21.80%,37.50%,11.60%,632,1096,1728
158,Jesús Sánchez,TBR,A,19-19,512,0.349,1.59,20.70%,48.70%,30.60%,29.10%,12.80%,42.10%,25.40%,32.60%,12.20%,547,1180,1727
159,Jordyn Adams,LAA,A,19-19,428,0.316,1.58,19.20%,49.40%,31.30%,22.90%,8.40%,47.30%,22.80%,29.90%,11.10%,677,1047,1724
160,Jorge Oña,SDP,A,20-20,465,0.357,1.47,20.30%,47.50%,32.20%,17.90%,11.60%,47.70%,28.50%,23.80%,12.60%,634,1089,1723
161,Zach Rutherford,TBR,A,22-22,484,0.333,1.06,24.70%,38.80%,36.60%,24.80%,5.10%,41.20%,24.80%,34.00%,12.70%,613,1105,1718
162,Dwanya Williams-Sutton,SDP,A,21-21,399,0.317,1.01,16.50%,42.00%,41.50%,24.10%,10.80%,52.40%,20.70%,26.90%,8.70%,722,992,1714
163,Kevonte Mitchell,CHC,A,21-21,459,0.304,1.2,17.00%,45.20%,37.80%,23.40%,9.90%,45.60%,23.80%,30.60%,11.70%,626,1081,1707
164,Aaron Whitefield,MIN,A,20-20,460,0.332,0.94,10.30%,43.50%,46.20%,20.10%,7.90%,43.60%,24.90%,31.50%,15.30%,594,1103,1697
